State,STC,ID_1,Male Literacy Rate %,Female Literacy Rate %,Average Literacy Rate %
Andaman & Nicobar Island,AN,1,90.11,81.84,86.27
Andhra Pradesh,AP,2,73.4,59.5,66.4
Arunachal Pradesh,AR,3,73.69,59.57,66.95
Assam,AS,4,90.1,81.2,85.9
Bihar,BR,5,79.7,60.5,70.9
Chandigarh,CH,6,90.54,81.38,86.43
Chhattisgarh,CG,7,85.4,68.7,77.3
Dadara & Nagar Havelli,DH,8,86.46,65.93,77.65
Daman & Diu,DD,9,91.48,79.59,87.07
Delhi,DL,10,93.7,82.4,88.7
Goa,GA,11,92.81,81.84,87.4
Gujarat,GJ,12,89.5,74.8,82.4
Haryana,HR,13,88,71.3,80.4
Himachal Pradesh,HP,14,92.9,80.5,86.6
Jammu & Kashmir,JK,15,85.7,68,77.3
Jharkhand,JH,16,83,64.7,74.3
Karnataka,KA,17,83.4,70.5,77.2
Kerala,KL,18,97.4,95.2,96.2
Lakshadweep,LD,19,96.11,88.25,92.28
Madhya Pradesh,MP,20,81.2,65.5,73.7
Maharashtra,MH,21,90.7,78.4,84.8
Manipur,MN,22,86.49,73.17,79.85
Meghalaya,ML,23,77.17,73.78,75.48
Mizoram,MZ,24,93.72,89.4,91.58
Nagaland,NL,25,83.29,76.69,80.11
Odisha,OR,26,84,70.3,77.3
Puducherry,PY,27,92.12,81.22,86.55
Punjab,PB,28,88.5,78.5,83.7
Rajasthan,RJ,29,80.8,57.6,69.7
Sikkim,SK,30,87.29,76.43,82.2
Tamil Nadu,TN,31,87.9,77.9,82.9
Tripura,TR,32,92.18,83.15,87.75
Uttar Pradesh,UP,33,81.8,63.4,73
Uttarakhand,UK,34,94.3,80.7,87.6
West Bengal,WB,35,84.8,76.1,80.5
