Entity,Code,Year,Share of services in total goods and services exports
United Kingdom,GBR,2000,33.85
United Kingdom,GBR,2001,34.87
United Kingdom,GBR,2002,35.87
United Kingdom,GBR,2003,37.93
United Kingdom,GBR,2004,39.98
United Kingdom,GBR,2005,39.91
United Kingdom,GBR,2006,39.26
United Kingdom,GBR,2007,43.46
United Kingdom,GBR,2008,42.23
United Kingdom,GBR,2009,45.22
United Kingdom,GBR,2010,42.72
United Kingdom,GBR,2011,42.03
United Kingdom,GBR,2012,43.13
United Kingdom,GBR,2013,44.44
United Kingdom,GBR,2014,45.66
United Kingdom,GBR,2015,47.36
United Kingdom,GBR,2016,47.98
United Kingdom,GBR,2017,47.18
United Kingdom,GBR,2018,47.9
United Kingdom,GBR,2019,47.88
United Kingdom,GBR,2020,49.69
United Kingdom,GBR,2021,51
United Kingdom,GBR,2022,49.34
