State,STC,ID_1,Inflation Rate
Andaman & Nicobar Island,AN,1,2.43
Andhra Pradesh,AP,2,6.17
Arunachal Pradesh,AR,3,4.83
Assam,AS,4,5.82
Bihar,BR,5,7.83
Chandigarh,CH,6,6.14
Chhattisgarh,CG,7,8.84
Dadara & Nagar Havelli,DH,8,6.3
Daman & Diu,DD,9,7.28
Delhi,DL,10,4.01
Goa,GA,11,4.67
Gujarat,GJ,12,6.39
Haryana,HR,13,6.76
Himachal Pradesh,HP,14,5.78
Jammu & Kashmir,JK,15,5.5
Jharkhand,JH,16,5.53
Karnataka,KA,17,5.91
Kerala,KL,18,6.47
Lakshadweep,LD,19,3.24
Madhya Pradesh,MP,20,7.03
Maharashtra,MH,21,5.38
Manipur,MN,22,9.69
Meghalaya,ML,23,4.31
Mizoram,MZ,24,4.11
Nagaland,NL,25,4.85
Odisha,OR,26,7.51
Puducherry,PY,27,6.44
Punjab,PB,28,5.79
Rajasthan,RJ,29,5.99
Sikkim,SK,30,3.88
Tamil Nadu,TN,31,6.32
Tripura,TR,32,5.57
Uttar Pradesh,UP,33,7.36
Uttarakhand,UK,34,6.33
West Bengal,WB,35,4.63
