Entity,year,ghg,gdp,pop,gdp_log
United Kingdom,1990,10.4927225,26189,57367867,4.418118916
United Kingdom,1991,10.588317,25792.014,57555199,4.411485256
United Kingdom,1992,10.288521,25790.186,57719272,4.411454474
United Kingdom,1993,10.017321,26349.342,57861036,4.420769774
United Kingdom,1994,9.896297,27277.543,58003200,4.435805249
United Kingdom,1995,9.735405,27861.215,58154632,4.445000052
United Kingdom,1996,10.0647545,28472.248,58298563,4.454421758
United Kingdom,1997,9.62765,29259.764,58447090,4.466270819
United Kingdom,1998,9.697672,30077.385,58626822,4.478240075
United Kingdom,1999,9.545588,30932.537,58838660,4.490415541
United Kingdom,2000,9.635275,31946.037,59057336,4.50441699
United Kingdom,2001,9.748509,32660.441,59288095,4.514022045
United Kingdom,2002,9.40991,33271.3,59540763,4.52206977
United Kingdom,2003,9.555585,34232.426,59820385,4.534437678
United Kingdom,2004,9.530167,34865.78,60169964,4.542399385
United Kingdom,2005,9.412128,35623.625,60596108,4.55173811
United Kingdom,2006,9.301154,36214.07,61051093,4.558877337
United Kingdom,2007,9.09334,36816.676,61535860,4.566044576
United Kingdom,2008,8.785364,36264.79,62027303,4.559485167
United Kingdom,2009,7.904937,34402.36,62506221,4.536588236
United Kingdom,2010,8.124633,34754.473,63006484,4.541010707
United Kingdom,2011,7.3959785,34971,63509285,4.543708051
United Kingdom,2012,7.62153,35243.64,63960487,4.547080756
United Kingdom,2013,7.4175463,35660.56,64389386,4.552188159
United Kingdom,2014,6.764833,36521.86,64865914,4.562552887
United Kingdom,2015,6.461413,37101.227,65382107,4.569388273
United Kingdom,2016,6.061766,37593.906,65893359,4.575117451
United Kingdom,2017,5.837845,38283.938,66354474,4.583016604
United Kingdom,2018,5.6886244,38704.6,66752473,4.587762584
United Kingdom,2019,5.4350777,39113.01,67110958,4.592321239
United Kingdom,2020,4.84416,34651.184,67351860,4.539718079
United Kingdom,2021,5.091122,37134.33,67668789,4.569775593
United Kingdom,2022,4.6030793,38406.53,68179315,4.584405071
