country,Code,Year,emissions,gdp,pop,gdp_log
Afghanistan,AFG,2022,0.26017997,1357.9878,40578846,3.132895868
Albania,ALB,2022,1.8295882,12978.101,2827615,4.11321115
Algeria,DZA,2022,4.058238,13506.444,45477391,4.130541022
Angola,AGO,2022,0.56826746,6118.905,35635028,3.786673711
Argentina,ARG,2022,4.4943867,18292.318,45407904,4.262268743
Armenia,ARM,2022,2.4869328,13837.577,2880883,4.141060051
Australia,AUS,2022,14.669758,52049.43,26200987,4.716415978
Austria,AUT,2022,6.7833743,43792.855,9064679,4.641403259
Azerbaijan,AZE,2022,3.9232905,17682.94,10295307,4.247554473
Bahrain,BHR,2022,23.249395,38651.6,1533459,4.587167476
Bangladesh,BGD,2022,0.67221403,4925.721,169384890,3.692469809
Barbados,BRB,2022,4.049638,11545.848,282324,4.062425836
Belarus,BLR,2022,6.473651,18699.799,9173241,4.271836938
Belgium,BEL,2022,7.645034,41872.395,11641813,4.621927802
Benin,BEN,2022,0.4209725,2477.0903,13759507,3.393941839
Bolivia,BOL,2022,1.8529397,6481.3906,12077155,3.811668195
Bosnia and Herzegovina,BIH,2022,6.5412273,12142.863,3204805,4.084321095
Botswana,BWA,2022,2.7031999,16351.91,2439895,4.213568488
Brazil,BRA,2022,2.3006458,14640.076,210306411,4.165543331
Bulgaria,BGR,2022,6.880554,20592.455,6825863,4.313708126
Burkina Faso,BFA,2022,0.28317013,1704.966,22509037,3.231715723
Burundi,BDI,2022,0.053095087,717.22845,13321101,2.855657508
Cambodia,KHM,2022,1.1399201,3944.2468,17201717,3.595964082
Cameroon,CMR,2022,0.36354783,2812.2148,27632771,3.449048489
Canada,CAN,2022,14.18325,45529.645,38821260,4.658294264
Cape Verde,CPV,2022,1.067773,7202.767,519750,3.857499366
Central African Republic,CAF,2022,0.05306414,596.393,5098038,2.775532537
Chad,TCD,2022,0.1628097,1393.5635,18455319,3.144126763
Chile,CHL,2022,4.2211823,22740.72,19553032,4.356804211
China,CHN,2022,7.9642863,19238.18,1425179562,4.284163984
Colombia,COL,2022,1.8998148,14468.964,51737944,4.160437436
Comoros,COM,2022,0.54054224,1900.3983,834192,3.278844633
Congo,COG,2022,1.344008,4187.507,6035107,3.621955546
Costa Rica,CRI,2022,1.5442005,15496.82,5081765,4.190242589
Cote d'Ivoire,CIV,2022,0.44888434,4011.7122,30395003,3.603329769
Croatia,HRV,2022,4.506801,26986.752,3907031,4.431150618
Cuba,CUB,2022,1.9785384,7648.704,11059821,3.883587854
Cyprus,CYP,2022,5.4060793,31523.498,1331376,4.498634403
Czechia,CZE,2022,8.910881,32247.395,10673216,4.508494637
Democratic Republic of Congo,COD,2022,0.045222,844.172,102396974,2.926430943
Denmark,DNK,2022,4.8165383,50689.68,5902898,4.70491955
Djibouti,DJI,2022,0.4346689,3623.0603,1137100,3.559075562
Dominica,DMA,2022,2.338145,8879.6455,66850,3.948395628
Dominican Republic,DOM,2022,2.7096004,17713.52,11230734,4.248304872
Ecuador,ECU,2022,2.2734659,10124.076,17823900,4.005355397
Egypt,EGY,2022,2.4078562,13205.406,112618251,4.120751758
El Salvador,SLV,2022,1.2420064,9218.905,6280316,3.96467934
Equatorial Guinea,GNQ,2022,3.7846842,22707.22,1803550,4.356163968
Estonia,EST,2022,8.708426,30067.395,1350092,4.478095803
Eswatini,SWZ,2022,0.8857859,8522.45,1218921,3.930564462
Ethiopia,ETH,2022,0.12088373,2289.409,125384285,3.359723386
Finland,FIN,2022,6.5299063,40701.465,5569299,4.609610041
France,FRA,2022,4.428381,39065.71,66277412,4.591795722
Gabon,GAB,2022,2.4003546,15720.901,2430752,4.196477433
Gambia,GMB,2022,0.2797237,2010.5322,2636473,3.303311033
Georgia,GEO,2022,3.0376284,14360.359,3794783,4.157165297
Germany,DEU,2022,7.985512,46647.793,84086228,4.668831101
Ghana,GHA,2022,0.61199135,4242.4106,33149151,3.627612699
Greece,GRC,2022,5.5778756,25283.906,10412481,4.402844167
Guatemala,GTM,2022,1.070925,7969.431,17847877,3.901427315
Guinea,GIN,2022,0.29839432,1809.2666,14055137,3.257502566
Guinea-Bissau,GNB,2022,0.14682573,1625.3876,2105537,3.210956942
Haiti,HTI,2022,0.2939031,1546.4222,11503604,3.189328076
Honduras,HND,2022,1.0016866,5186.5303,10463881,3.714876919
Hong Kong,HKG,2022,4.223433,48289.383,7465914,4.683851656
Hungary,HUN,2022,4.6304326,29451.855,9684306,4.469112654
Iceland,ISL,2022,9.499335,42145.594,380368,4.624752179
India,IND,2022,1.9861934,7765.593,1425423212,3.890174625
Indonesia,IDN,2022,2.643443,12801.671,278830529,4.107266662
Iran,IRN,2022,8.944466,18473.066,89524247,4.266538982
Iraq,IRQ,2022,3.8864772,13071.94,44070556,4.116340046
Ireland,IRL,2022,7.1842065,60257.082,5110013,4.780008097
Israel,ISR,2022,6.695069,36648.918,9103144,4.564061157
Italy,ITA,2022,5.714146,36224.293,59619106,4.558999918
Jamaica,JAM,2022,2.5137153,7481.6685,2839151,3.873998461
Japan,JPN,2022,8.261654,38268.79,124997586,4.582844731
Jordan,JOR,2022,1.7993976,9151.479,11256268,3.961491287
Kazakhstan,KAZ,2022,12.698733,26491.857,20034612,4.423112402
Kenya,KEN,2022,0.39440423,3403.9238,54252456,3.531979829
Kuwait,KWT,2022,21.235485,71533.516,4589514,4.854509572
Kyrgyzstan,KGZ,2022,1.4422635,5304.841,6955792,3.724672371
Laos,LAO,2022,3.100422,7168.1904,7559007,3.855409532
Latvia,LVA,2022,3.5191457,27220.303,1881058,4.434892955
Lebanon,LBN,2022,3.294004,10341.159,5744494,4.014569216
Lesotho,LSO,2022,1.676462,2312.9583,2286112,3.364167803
Liberia,LBR,2022,0.14741065,811.2146,5373296,2.909135758
Libya,LBY,2022,7.9661736,12755.204,7223804,4.105687409
Lithuania,LTU,2022,4.5640817,30863.32,2816922,4.489442642
Luxembourg,LUX,2022,11.138139,55484.777,653316,4.744173845
Madagascar,MDG,2022,0.14158471,1367.0938,30437263,3.135798314
Malawi,MWI,2022,0.08499348,1190.0509,20568731,3.075565537
Malaysia,MYS,2022,8.227235,26628.707,34695494,4.425350079
Mali,MLI,2022,0.302889,1651.9413,23072639,3.217994611
Malta,MLT,2022,3.3579102,34496.34,528194,4.53777302
