Second Tier Authority,Calendar Year,Sector,Emissions
Yorkshire and the Humber Total,2005.0,Industry Total,"19,840.3"
Yorkshire and the Humber Total,2006.0,Industry Total,"19,435.7"
Yorkshire and the Humber Total,2007.0,Industry Total,"18,907.5"
Yorkshire and the Humber Total,2008.0,Industry Total,"17,573.7"
Yorkshire and the Humber Total,2009.0,Industry Total,"14,031.9"
Yorkshire and the Humber Total,2010.0,Industry Total,"16,053.8"
Yorkshire and the Humber Total,2011.0,Industry Total,"15,352.9"
Yorkshire and the Humber Total,2012.0,Industry Total,"14,316.1"
Yorkshire and the Humber Total,2013.0,Industry Total,"14,628.2"
Yorkshire and the Humber Total,2014.0,Industry Total,"13,516.7"
Yorkshire and the Humber Total,2015.0,Industry Total,"14,048.6"
Yorkshire and the Humber Total,2016.0,Industry Total,"12,673.1"
Yorkshire and the Humber Total,2017.0,Industry Total,"12,367.8"
Yorkshire and the Humber Total,2018.0,Industry Total,"12,302.3"
Yorkshire and the Humber Total,2019.0,Industry Total,"11,357.4"
Yorkshire and the Humber Total,2020.0,Industry Total,"10,665.9"
Yorkshire and the Humber Total,2021.0,Industry Total,"11,246.0"
Yorkshire and the Humber Total,2022.0,Industry Total,"9,739.2"
London Total,2005.0,Industry Total,"3,189.6"
London Total,2006.0,Industry Total,"3,194.1"
London Total,2007.0,Industry Total,"3,086.3"
London Total,2008.0,Industry Total,"3,020.4"
London Total,2009.0,Industry Total,"2,689.8"
London Total,2010.0,Industry Total,"2,921.6"
London Total,2011.0,Industry Total,"2,599.6"
London Total,2012.0,Industry Total,"2,739.6"
London Total,2013.0,Industry Total,"2,632.9"
London Total,2014.0,Industry Total,"2,365.2"
London Total,2015.0,Industry Total,"2,190.3"
London Total,2016.0,Industry Total,"1,900.8"
London Total,2017.0,Industry Total,"2,087.8"
London Total,2018.0,Industry Total,"1,780.0"
London Total,2019.0,Industry Total,"1,662.9"
London Total,2020.0,Industry Total,"1,494.2"
London Total,2021.0,Industry Total,"1,637.4"
London Total,2022.0,Industry Total,"1,645.8"
England Total,2005.0,Industry Total,"1,03,111.7"
England Total,2006.0,Industry Total,"1,00,019.9"
England Total,2007.0,Industry Total,"98,080.1"
England Total,2008.0,Industry Total,"91,950.6"
England Total,2009.0,Industry Total,"77,158.2"
England Total,2010.0,Industry Total,"78,361.7"
England Total,2011.0,Industry Total,"70,876.9"
England Total,2012.0,Industry Total,"74,625.8"
England Total,2013.0,Industry Total,"74,185.8"
England Total,2014.0,Industry Total,"68,335.4"
England Total,2015.0,Industry Total,"63,784.4"
England Total,2016.0,Industry Total,"53,863.3"
England Total,2017.0,Industry Total,"54,356.5"
England Total,2018.0,Industry Total,"51,128.2"
England Total,2019.0,Industry Total,"48,259.2"
England Total,2020.0,Industry Total,"44,758.1"
England Total,2021.0,Industry Total,"47,019.1"
England Total,2022.0,Industry Total,"42,747.4"
Wales Total,2005.0,Industry Total,"13,404.2"
Wales Total,2006.0,Industry Total,"13,900.8"
Wales Total,2007.0,Industry Total,"14,123.8"
Wales Total,2008.0,Industry Total,"13,223.3"
