Country,EN.GHG.ALL.MT.CE.AR5,NY.GDP.MKTP.KD.ZG
AFE,1519.0806,3.55387836394647
AFW,956.2243,3.78967984579947
ARB,3325.5181,5.72143310855449
CSS,17.5201,23.06760379909
CEB,910.4928,4.06723825067941
EAR,13190.2118,5.52073569774932
EAS,21588.064,2.86876226114843
EAP,18891.6114,3.38620985440659
TEA,18812.0254,3.38615269954697
EMU,2703.5208,3.5460434690594
ECS,8595.3441,3.24542492239996
ECA,1884.2165,3.10365161126778
TEC,5072.9815,1.73037795734983
EUU,3586.8163,3.49770328667265
FCS,2424.9111,1.09873916341439
HPC,1403.0492,4.81099834377959
HIC,18211.557,2.89892584056884
IBD,33820.4583,3.56148584112444
IBT,37289.9158,3.61708089606803
IDB,1419.2349,4.25620673677336
IDX,2050.2226,4.36210132476691
IDA,3469.4575,4.31229378886133
LTE,23701.6673,3.14193460612732
LCN,3690.1129,3.9635155124588
LAC,3249.855,3.84923888879409
TLA,3627.5351,3.98805098564577
LDC,1840.6538,4.63919083227444
LMY,33801.8573,3.81529699220692
LIC,1066.0736,3.669985449748
LMC,7897.6713,5.83527094749611
MEA,4169.3756,5.63441268961842
MNA,2404.0878,4.10601453287201
TMN,2404.0878,4.10622844926141
MIC,32735.7837,3.8174139256837
NAC,6766.7488,2.61158592059087
INX,,
OED,15202.5692,3.03275924022807
OSS,139.8632,4.886846815691
PSS,6.5841,9.14580791363177
PST,13290.4858,2.71061301520695
PRE,1996.4094,4.14816293481037
SST,163.9674,8.00640924430741
SAS,4897.9811,6.31320371820945
TSA,4897.9811,6.31320371820945
SSF,2475.3049,3.66294712725718
SSA,2474.1055,3.6527217986096
TSS,2475.3049,3.66294712725717
UMC,24838.1124,3.31155600371018
WLD,53786.038909132,3.23802126201731
AFG,29.0264,-6.24017199240269
ALB,7.9529,4.82668831434437
DZA,284.4451,3.59999999999998
ASM,0.0084,1.73501577287065
AND,,9.56461225648184
AGO,66.4801,3.04472652391918
ATG,0.3598,9.51639564359461
ARG,382.962,5.26987967384072
ARM,9.1331,12.5999999997766
ABW,0.4967,8.51791810517545
AUS,570.6027,4.24238555336139
AUT,76.6518,5.27789421203715
AZE,68.8769,4.71480236521231
BHS,1.8816,10.7820132001503
BHR,69.9762,5.98130282177125
BGD,281.0516,7.09982877575158
BRB,0.928,17.8328630251327
BLR,99.8742,-4.65839591573591
BEL,114.0017,4.2334318336917
BLZ,0.9766,9.65297772389758
BEN,20.6851,6.25324491401346
BMU,0.3539,6.43113399633694
BTN,3.0709,5.21386781145085
BOL,58.463,3.60568038279472
BIH,29.141,4.22681101095546
BWA,12.5832,5.48602817797183
BRA,1310.4989,3.01669435393015
VGB,0.0754,
BRN,14.8294,-1.62833154022366
BGR,68.383,4.03877758301681
BFA,36.4971,1.4972397409897
BDI,7.4799,1.84899943948213
CPV,1.3033,15.843675684642
KHM,50.0153,5.10336888677125
CMR,43.1713,3.7367840056412
CAN,756.8101,3.81986633913397
CYM,0.3448,5.15632954248333
CAF,13.4482,0.502110003427035
TCD,89.8373,2.80434074839411
CHI,,5.34196183115412
CHL,137.0112,2.05874008095333
CHN,15662.1317,2.95066992959268
COL,215.5305,7.2888838865514
COM,0.9221,2.60301031927843
COD,61.5741,8.92444762563109
COG,25.9624,1.47535613247133
CRI,16.8614,4.55149177958398
CIV,36.1772,6.2178509127107
HRV,24.1168,7.28793643206565
CUB,44.3766,1.77485399483382
CUW,,6.90599999999999
CYP,10.6299,7.36562252428676
CZE,125.029,2.84717065717149
DNK,45.7952,1.54017310709567
DJI,2.2323,3.72857647005031
DMA,0.1474,5.58354626264079
DOM,41.8585,4.85832403582451
ECU,76.9437,6.18613907258741
EGY,377.7496,6.58784560886967
SLV,13.0739,2.79955216943868
GNQ,11.5519,3.22350831658598
ERI,6.9519,
EST,13.8093,0.0604278323325786
SWZ,3.3726,-0.0676192583464115
ETH,192.4435,5.32117628383672
FRO,0.051,3.55602380418398
FJI,2.9823,19.7927266933385
FIN,54.805,1.4500480727209
FRA,429.9974,2.57084047443969
PYF,1.1221,4.46607459000271
GAB,18.6267,3.03761449502689
GMB,2.3435,5.49299823010114
GEO,18.0153,10.9585321385624
DEU,784.0046,1.36973105536585
GHA,53.0073,3.81750462109567
GIB,0.689,
GRC,76.0007,5.74364918958959
GRL,0.5395,
GRD,0.1941,7.32074061551874
GUM,0.0409,5.09986426216793
GTM,45.0183,4.20015588892568
GIN,29.2804,3.97240784200721
GNB,3.2433,4.60583180729681
GUY,7.791,63.3345871591983
HTI,14.8741,-1.68198396897978
HND,23.7448,4.14356194013767
HKG,39.1401,-3.68357113148396
HUN,66.2076,4.58340767295068
ISL,4.7682,8.9925076126915
IND,3940.7995,6.9870393257555
IDN,1240.7843,5.30741934775764
IRN,951.8312,3.77663140152906
