name,year,gva_rate,ITL Code
Yorkshire and the Humber,1999,3.2,TLE
Yorkshire and the Humber,2000,3.5,TLE
Yorkshire and the Humber,2001,4.7,TLE
Yorkshire and the Humber,2002,5.1,TLE
Yorkshire and the Humber,2003,6.3,TLE
Yorkshire and the Humber,2004,4.9,TLE
Yorkshire and the Humber,2005,4.1,TLE
Yorkshire and the Humber,2006,4.5,TLE
Yorkshire and the Humber,2007,5.1,TLE
Yorkshire and the Humber,2008,0.7,TLE
Yorkshire and the Humber,2009,-2.3,TLE
Yorkshire and the Humber,2010,0.1,TLE
Yorkshire and the Humber,2011,1.0,TLE
Yorkshire and the Humber,2012,1.9,TLE
Yorkshire and the Humber,2013,2.2,TLE
Yorkshire and the Humber,2014,2.7,TLE
Yorkshire and the Humber,2015,3.9,TLE
Yorkshire and the Humber,2016,1.3,TLE
Yorkshire and the Humber,2017,4.5,TLE
Yorkshire and the Humber,2018,2.8,TLE
Yorkshire and the Humber,2019,3.4,TLE
Yorkshire and the Humber,2020,-3.9,TLE
Yorkshire and the Humber,2021,10.9,TLE
Yorkshire and the Humber,2022,8.6,TLE
Yorkshire and the Humber,2023,7.6,TLE
Wales,1999,2.0,TLL
Wales,2000,4.6,TLL
Wales,2001,3.2,TLL
Wales,2002,4.1,TLL
Wales,2003,6.1,TLL
Wales,2004,5.2,TLL
Wales,2005,3.9,TLL
Wales,2006,4.5,TLL
Wales,2007,3.2,TLL
Wales,2008,0.4,TLL
Wales,2009,-1.4,TLL
Wales,2010,2.1,TLL
Wales,2011,3.4,TLL
Wales,2012,3.1,TLL
Wales,2013,3.5,TLL
Wales,2014,2.5,TLL
Wales,2015,3.2,TLL
Wales,2016,3.8,TLL
Wales,2017,3.3,TLL
Wales,2018,3.6,TLL
Wales,2019,4.3,TLL
Wales,2020,-5.2,TLL
Wales,2021,5.0,TLL
Wales,2022,8.8,TLL
Wales,2023,7.6,TLL
Scotland,1999,1.6,TLM
Scotland,2000,4.2,TLM
Scotland,2001,5.9,TLM
Scotland,2002,4.0,TLM
Scotland,2003,5.9,TLM
Scotland,2004,6.2,TLM
Scotland,2005,5.4,TLM
Scotland,2006,6.2,TLM
Scotland,2007,3.4,TLM
Scotland,2008,4.1,TLM
Scotland,2009,-0.9,TLM
Scotland,2010,-0.7,TLM
Scotland,2011,1.8,TLM
Scotland,2012,2.8,TLM
Scotland,2013,4.2,TLM
Scotland,2014,4.3,TLM
Scotland,2015,0.7,TLM
